code,title,points_r1_2021,points_r1_2020,points_r1_2019
CR360,Instrument Engineering,301,261,291
NC005,Human Resource Management,301,300,297
DK816,Business Studies,301,300,300
AL860,Social Care Practice,301,300,309
TL844,Agricultural Engineering,301,300,311
TL881,Social Care,301,308,308
LY408,Design - Common Entry,301,320,307
DK880,Health and Physical Activity,301,328,300
GA783,Physics and Instrumentation,301,363,373
GA480,Construction Management,302,260,260
AL851,Business and Law,302,295,301
DK861,Arts,302,302,300
LY818,Science - Common Entry,302,303,302
DC235,Education and Training - Daytime and Flexible Deli,302,309,307
TL871,Health and Leisure (Degree Award options),303,300,303
GA181,Accounting,303,309,303
GA482,Quantity Surveying and Construction Economics,304,288,280
LY518,Quantity Surveying,304,301,307
AL857,Digital Marketing,304,304,300
GA683,Agricultural Engineering,304,309,301
SG146,Accounting,304,309,307
DK830,Building Surveying,305,336,302
TL831,Business Studies (Major Specialism in: Acctng or M,306,306,307
AL843,Physical Activity and Health Science,306,306,310
AL864,Early Years Care and Education,306,307,307
CW128,Brewing and Distilling,307,263,271
SG442,Occupational Safety and Health,307,290,289
CW018,Business (options),307,298,327
DK810,Accounting and Finance,307,305,306
TL815,Computing (Degree Award options),307,308,308
TL848,Agricultural Science,307,308,331
LC242,Property Valuation and Management,308,282,292
TL873,Coaching and Sports Performance,308,289,282
SG249,Writing and Literature,308,297,279
DK864,Film and Television Production,308,300,300
SG448,Forensic Investigation and Analysis,308,306,306
LY828,Agriculture - Common Entry,308,307,300
WD084,Accounting,308,308,307
TL810,Computing with Software Development,308,310,309
LC393,Early Childhood Education and Care,309,236,260
WD144,Architecture,309,284,283
SG243,Social Care Practice,309,301,297
TL880,Early Childhood Care and Education,309,307,307
AL855,Hospitality Management (with international placeme,309,308,312
AL850,Business,309,309,307
TL851,Wildlife Biology (Degree Award options),309,309,310
DK820,Computing in Games Development,309,311,307
LC375,Industrial Automation and Robotic Systems,309,317,321
LC612,Social Care Work,309,320,319
GA787,Computing in Software Development,310,270,275
GA281,Film and Documentary,310,304,287
SG252,Software Development,310,307,300
DC014,BA in Jazz and Contemporary Music Performance (aud,311,419,428
GA681,Energy Engineering,312,293,281
LY108,Business - Accounting,312,309,318
CK107,Geographical and Archaeological Sciences - 3 or 4,312,328,326
SG346,Construction Project Management and Applied Techno,313,291,289
AL802,Software Design in Artificial Intelligence for Clo,313,332,301
TL872,Health and Leisure with Massage,314,309,288
CR400,Accounting,315,316,316
SG449,Medical Biotechnology,315,341,329
SG246,Computing,316,290,295
TL855,Pharmaceutical Science (Degree Award options),316,317,342
LC239,Computer Networks and Systems Management,317,307,335
TL858,Veterinary Bioscience,317,308,326
CM020,Early Childhood Education,317,327,336
GA185,Finance and Economics,318,293,307
CW578,TV and Media Production,318,325,327
CW948,Accounting,319,300,301
SG247,English and Psychology,319,309,308
DK821,Computing in Software Development,320,302,301
DN541,Modern Languages (options),320,303,348
LY708,Applied Computing,320,306,300
CR510,Sustainable Energy Engineering,320,320,319
WD027,Music,321,262,290
LY618,Electronic Engineering,321,312,307
AL805,Computer Engineering for Network Infrastructure,321,333,329
DK862,Social Care,322,301,300
TL802,TV  Radio and New Media (Level 8),322,325,306
TL811,Computing with Games Development,322,358,310
AL838,Biotechnology,324,307,302
MH109,Media Studies,324,316,317
LC371,Creative Broadcast and Film Production,325,309,298
AL839,Microbiology,325,325,322
LC241,Construction Management,326,255,276
SG447,Health Science and Physical Activity,326,328,316
MH305,Product Design,326,357,358
CR340,Analytical Chemistry with Quality Assurance,327,251,288
GY101,Arts (Joint-Honours),327,300,300
AL820,Mechanical and Polymer Engineering,327,308,300
LC392,Business Studies in Beauty and Spa Management,328,236,217
LC330,Business with Computing,328,297,298
AL810,Quantity Surveying,328,319,307
LM026,Performing Arts (audition format TBC),329,303,307
CR590,Electronic Engineering,329,303,342
CW548,Mechanical Engineering,330,321,310
NC022,Accounting and Finance,330,337,338
GA284,Design,331,303,309
LC223,Law and Taxation,331,307,308
GA682,Biomedical Engineering,331,313,331
SG245,Creative Design,332,282,261
DK863,Creative Media,336,308,300
AL852,Accounting,336,309,290
CR110,Automotive Business Management and Technology,336,311,318
SG253,Computing in Computer Networks and Cyber Security,336,324,273
LC374,Renewable and Electrical Energy Engineering,337,318,317
AD215,Visual Culture,337,377,300
AL842,Bioveterinary Science,338,313,310
MH101,Arts,338,318,316
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339,302,340
GA789,Agriculture and Environmental Management,340,287,297
SG241,Performing Arts,341,328,279
DK882,Agriculture (Award options),342,310,303
CR580,Electrical Engineering,342,318,344
AL836,Nutrition and Health Science,346,334,352
AL840,Pharmaceutical Sciences,346,347,328
GY128,Arts (Global Languages),346,352,370
CR310,IT Management,347,297,282
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347,336,307
DC295,Arts (Joint Honours) - Politics,349,376,348
CR150,Business Information Systems,350,335,326
AL803,Software Design for Mobile Apps and Connected Devi,350,337,309
DC291,Arts (Joint Honours) - Media Studies,350,376,349
MH304,Engineering (Computer/Electronic/Communications),351,333,371
GC494,Fashion Design (portfolio),351,337,
DK865,Audio and Music Production,352,301,301
GA782,Chemical and Pharmaceutical Science,356,336,307
DC009,Arts (Joint Honours) - Humanities,356,376,347
GY105,Arts (History),357,301,318
SG445,Pharmaceutical Science with Drug Development,357,311,347
LC376,Electronic Engineering with Computer Systems,357,318,308
LY928,Intellectual Disability Nursing,357,326,288
AL837,Sports Science with Exercise Physiology,357,351,351
SG444,Science Undenominated,358,338,308
DK832,Construction Management,358,387,300
CW758,Professional Social Care Practice,360,336,290
LM002,Arts,360*,348,329
LC275,Electrical Engineering,361,298,288
TL845,Civil Engineering,361,325,300
MH306,Robotics and Intelligent Devices,362,361,361
CR116,Computer Systems,365,332,318
GA780,Applied Freshwater and Marine Biology,366,327,300
CK109,English - 3 years or 4 years (International Pathwa,367,318,347
DK872,Intellectual Disability Nursing,367,336,300
LM093,Equine Science,367,339,338
LY918,Psychiatric Nursing,367*,357,291*
DC118,Gná agus Gaeilge / Business and Irish,368,359,357
GA791,Public Health Nutrition,368,368,364
DK831,Architectural Technology,368,389,301
CR370,Agri-Biosciences,368,397,408
GA882,Psychiatric Nursing,369,367,346
MH401,Finance (options),370,357,352
MI010,Education  Business Studies and Religious Studies,370,368,326
CK112,Theatre and Performative Practices - 3 or 4 years,371,330,324
CW568,Aerospace Engineering,371,380,366
DK883,Science (Award options),373,358,300
LC292,Social Care Work,374,367,360
CR560,Architectural Technology,375,308,288
CR570,Quantity Surveying,375,336,279
GA790,Sport and Exercise Science,376,356,350
SG443,Human Nutrition,376,356,357
GA484,Civil Engineering,377,290,270
LC372,Music Technology and Production,377,325,321
WD191,Agricultural Science,377,377,378
TR022,Early and Modern Irish,377,398,347
AS051,Nutrition  Food and Business Management,378,328,337
LC288,Mechanical Engineering,378,347,307
MH411,Entrepreneurship,378,371,358
DC293,Arts (Joint Honours) - International Languages,379,377,369
DN520,Joint Honours (options),381,310,336
GA781,Applied Biology and Biopharmaceutical Science,381,337,317
LC320,Business,381,346,337
MH601,Computer Science through Arts (options),381,352,342
CM010,Education Studies,382,319,317
LM122,Creative Media and Interaction Design (Digital Des,382,327,330
DC217,Intellectual Disability Nursing,382,370,347
DC010,Post Primary Teacher Education - Religious Educati,384,441,386
CK211,Commerce (International) with Chinese Studies,385,397,398
AS130,Intellectual Disability Nursing,387,336,317
GY110,Arts (Children and Youth Studies - options),387,357,382
DC238,Social Sciences and Cultural Innovation,387,377,358
MI012,Education  Gaeilge and Business Studies,387,401,398
TR016,Deaf Studies,389,340,337
MH107,Social Science,390,346,326
CR112,Creative Digital Media at CIT Crawford College of,390,361,335
WD120,Intellectual Disability Nursing,390,377,338
LC263,Medical Technology,391,294,282
LC340,Interior Design,391,350,298
TR089,Business Studies and Polish,391,444,393
CR109,Structural Engineering,396,394,341
DN530,Humanities (options),397,340,348
DK874,Mental Health Nursing,398,356,356
DC231,International Relations,398,397,387
CK122,Government and Political Science,399,337,355
GA680,Mechanical Engineering,400,330,336
MH602,Computer Science through Science (options),400,351,357
DC292,Arts (Joint Honours) - Law,400,403,356
CR220,Fine Art at CIT Crawford College of Art and Design,400,+matric,620
MH201,Science,401,360,350
LM076,Product Design and Technology (portfolio required),401,408,402
LM121,Computer Science (Computer Systems/Games Dev/Cyber,402,351,352
GY125,Arts (Digital Arts and Technology),403,328,324
DC120,Computing for Business,403,357,350
SG347,Architecture,403,360,309
DK843,Engineering (Common Entry),404,340,303
MI011,Education  Gaeilge and Religious Studies,407,409,377
GA786,Forensic Science and Analysis,408,317,300
MI007,Early Childhood Care and Education,409,357,366
LM040,European Studies,409,369,350
DC012,Post Primary Teacher Education - Religious Educati,409,378,367
DC011,Post Primary Teacher Education - Religious Educati,409,412,352
CK111,Early Years and Childhood Studies,409,419,398
GY122,Na Dána (Cumarsáid agus Gaeilge),410,361,308
GA980,Education (Design Graphics and Construction),410,377,376
LM063,Technology Management,410,379,372
TR097,Intellectual Disability Nursing,412,396,346
GY313,Environmental Health and Safety,412,412,402
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413,340,346
GY113,Arts with Human Rights,413,368,338
GY109,Arts (Mathematics and Education),413,403,411
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413,419,410
AD212,Product Design (portfolio),413,+matric, +mat
WD117,Psychiatric Nursing,415,366,361
TR041,Religion,417,368,347
DL825,Applied Psychology,418,379,349
GY123,Applied Social Sciences,419,358,357
NC010,Psychology,420,400,366
DC216,Mental Health Nursing,420,418,368
LM028,Criminal Justice,420,418,387
GY111,Arts (English and Creative Writing),421,330,402
CK105,Film and Screen Media - 3 years or 4 years (Intern,421,368,397
DN750,Social Policy and Sociology,421,378,330
DC131,Communication Studies,421,407,400
GY314,Earth and Ocean Sciences,422,403,402
MH204,Physics with Astrophysics,422,422,420
CK207,Commerce (International) with Italian,423,388,408
MH407,Business and Accounting,423,420,401
DC166,Environmental Science and Technology,423*,433,412
MH403,Accounting and Finance,424,422,402
LM095,Materials and Engineering Technology with concurre,425,367,358
CR333,Nutrition and Health Science,425,402,360
DC155,Applied Language and Translation Studies,427,387,371
LM103,Paramedic Studies (Full B/Provisional C1 Drivers L,429,392,313
LC362,Biotechnology and Biopharmaceutical Sciences,429,413,379
LM044,Applied Languages,429,442,404
LY908,General Nursing,429*,400,383
GY127,Arts (Film and Digital Media),430,401,387
CR565,Interior Architecture,431,359,336
GY410,Project and Construction Management,431,403,434
GY308,Environmental Science,431,408,413
CR106,Software Development,431,411,351
CK730,Intellectual Disability Nursing,431,419,359
DC230,Economics  Politics and Law,431,435,400
LM039,Journalism and Digital Communication,432,402,388
GY414,Electrical and Electronic Engineering,433,405,454
MI009,Education  Business Studies and Accounting,434,402,392
CK102,Social Science,434,412,391
CR108,Mechanical Engineering,434,434,425
DC133,Multimedia,435,411,403
CR225,Photography with New Media at CIT Crawford College,435,+matric,920
TL891,Mental Health Nursing and Mature Applicants,440,389,367*
AL832,Mental Health Nursing,440*,387,387
CK108,Arts International - 4 years,440*,401,429
DK870,General Nursing,440*,403,392
AS054,Home Economics,440*,408,387
AS110,General Nursing,440*,419,391*
GA880,General Nursing,440*,429,389*
MH404,Business (options),441,430,400
DN453,Mental Health Nursing,442,397,379
TR095,Mental Health Nursing,442,408,358
CR105,Chemical and Biopharmaceutical Engineering,443,443,432
TR039,Computer Science  Linguistics and a Language,443,454,435
CR520,Biomedical Engineering,444,444,434
MH207,Data Science,444,445,434
AD222,Interaction Design (portfolio),444,+matric, +mat
GA784,Science (Undenominated),445,372,327
LM118,Electronic and Computer Engineering,445,403,401
DN130,City Planning and Environmental Policy,445,407,367
DC001,Education - Early Childhood Education,445,440,398
CK212,Economics (through Transformational Learning) 3 or,445,444,400
WD116,General Nursing,446,422,413
LM082,Construction Management and Engineering,446*,398,368
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,450,+matric,979
DC004,Education - Primary Teaching (Church of Ireland Ce,451,411,357
LM050,Business Studies (options),451,431,419
CW188,Sport Rehabilitation and Athletic Therapy,451,451,454
AL830,General Nursing,451*,442,410
MH212,Science|Maths and Computer Science|Mathematics (wi,452,422,444
DC132,Journalism,452,429,401
GY118,Arts (Drama  Theatre and Performance Studies),453,451,410
LM096,Science with Teacher Ed (Physical Sciences with Ch,454,405,382
GY133,Education (Computer Science and Mathematical Studi,454,422,401
DN250,Agricultural Science (options),454,456,420
CK720,Mental Health Nursing,455,423,398
CK203,Business Information Systems,455,430,409
LM124,Mathematics (Math Science/Maths and Physics/Econom,455,437,427
WD163,Psychology,456,434,390
DC215,General Nursing,456*,454,414
GY130,Arts (Music),462,408,400
LM154,Intellectual Disability Nursing,462,420,381*
TR091,General Nursing (Meath and St James`s),462,429,393*
DC203,Science Education,462,435,424
DN450,General Nursing,462*,429,398
DN120,Landscape Architecture,463,407,353
TL890,General Nursing and Mature Applicants,463,440,407
CK505,Food Science,463,441,444
AS003,Education  Home Economics and Irish - with concurr,463*,440,421
CK113,Criminology - 3 years or 4 years (International Pa,464,423,408
AS002,Education  Home Economics and Religious Ed - with,464,441,400*
LM068,Food Science and Health,464*,421,400
GY320,Physics (Degree options: Applied Astrophysics Biom,465,402,401
GY132,Government (Politics  Economics and Law),465,407,402
GY129,Arts (Global Experience),465,420,408
CK409,Industrial Physics - Offered jointly by UCC and CI,465,432,413
CW478,Civil Engineering,465,433,348
CK205,Commerce (International) with French,465,445,409
MH502,Law (options),465,451,410
CR325,Pharmaceutical Biotechnology,466,398,388
CK206,Commerce (International) with German,466,420,408
TR021,Classics  Ancient History and Archaeology,467,370,377
GY310,Marine Science,467,419,409
LM058,Financial Mathematics,468,403,434
DC232,Law and Society (BCL),469,466,453
CR335,Biological Sciences (Common Entry),473,420,381
TR093,General Nursing (Adelaide School of Nursing),473,430,378*
LM020,Law and Accounting,474,465,436
DC121,Computer Science,475,400,370
CR500,Engineering (Common Entry),475,411,381
DN700,Social Sciences (options),475,421,388
GY516,Mental Health Nursing,475,440,388
LM094,Materials and Architectural Technology with concur,475,440,405
GY201,Commerce,476,433,420
LM115,Chemical and Biochemical Engineering,476,454,456
MH402,Quantitative Finance,476,476,476
AL841,Athletic and Rehabilitation Therapy,477,430,423
DC209,Health and Society,477,465,419
LM152,Mental Health Nursing,478,419,388
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,480,494,492
DK877,Midwifery,482,440,398*
GY119,Arts (Journalism),484,400,410
DN430,Sport and Exercise Management,484,455,436
DC113,Global Business (Germany),484,462,440
DC117,Aviation Management / Aviation Management with Pil,484,476,463
AL870,Applied Psychology,484*,418,409
MI006,Education - Primary Teaching - Gaeltacht Applicant,485,456,442
TR087,Business Studies and Russian,487,474,467
CK208,Commerce (International) with Hispanic Studies,488,402,431
DC190,Electronic and Computer Engineering (with choice o,488,413,391
CK110,World Languages,488,452,456
LM125,Physics (Applied Physics or Mathematics and Physic,489,404,405
GY301,Science,489,433,400
DC003,Education - Primary Teaching - Gaeltacht Applicant,489,445,433
DC193,Mechatronic Engineering,490,411,404
MH202,Biotechnology,490,455,429
GY350,Computer Science and Information Technology,495,403,425
TR062,Geography and Geoscience,495,473,435
TR009,Music Education,496,420,430
TR084,Social Studies (Social Work),497,462,420*
TR028,Ancient and Medieval History and Culture,498,342,339
LC265,Forensic and Pharmaceutical Sciences,498,413,335
DC110,Business Studies International,498,465,440
GY304,Biotechnology,498,465,473
DC161,Analytical Science,498,498,446
LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind,498*,441,412
CK710,General Nursing,498*,454,440
LM089,Sport and Exercise Sciences,498*,474,441
LM150,General Nursing,498*,475,440*
LM116,Engineering (Biomedical/Civil/Design and Manufactu,498*,476,434
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499,466,393
DC240,Marketing  Innovation and Technology,499,476,451
DC195,Mechanical and Manufacturing Engineering,500,425,401
CK706,Public Health Sciences,500,454,419
CK404,Biological  Earth and Environmental Sciences,500,467,412
CK201,Commerce,500,477,465*
DC123,Data Science,501,465,467
SG244,Fine Art,501,505,355
GY515,General Nursing (Galway and Portiuncula),502,476,442
CK401,Computer Science,503,468,402
GY261,Business Studies in International Hotel Management,503,497,486
AD103,Textile and Surface Design and Jewellery and Objec,505,+matric, +mat
GY204,Commerce (International) with Spanish,506,495,484
CK412,Agricultural Science,506,496,457
MH501,LLB Law - four year Single Major Law programme,507,473,451
CK209,Commerce (International) with Irish,507,484,509
TR002,Music,508,435,414
GY208,Commerce (Gaeilge),508,473,473
CM001,Education - Primary Teaching,508,484,452*
MI013,Education  Mathematics and Gaeilge,509,444,433
GY206,Business Information Systems (Work Placement and O,509,465,431
GY309,Financial Mathematics and Economics,509,487,454
GY413,Energy Systems Engineering,509,502,532
CK740,Midwifery,509*,484,444
DC197,Biomedical Engineering,510,423,402
TR005,Philosophy,510,442,391
GY250,Law and Business,510,487,436
MH210,Pharmaceutical and Biomedical Chemistry,510,487,446
CK600,Engineering,510,487,465
DN452,Midwifery,510,489,409
DC200,Common Entry into Engineering (Undenominated Entry,511,422,381
DC111,Business Studies,511,488,463
DC202,Sport Science and Health,511,500,467
CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,513,528,491
AD204,Fine Art (portfolio),514,+matric, +mat
GA785,Medical Science,517,473,451
GY203,Commerce (International) with German,518,489,489
DC002,Education - Primary Teaching,518*,488,462*
TR040,Middle Eastern and European Languages and Cultures,520,466,485
GY202,Commerce (International) with French,520,484,484
GY517,Midwifery,520,495,429
LM099,Architecture,520,498,419
MH603,Computational Thinking,520,532,520
TR913,Midwifery,521,478,423
DN310,Veterinary Nursing,521,478,441
DC206,Physical Education with Mathematics,521,499,443
LM092,Science with Teacher Ed (Biology with Physics/Chem,521,507,478
MH206,Theoretical Physics and Mathematics,521,510,498
LM156,Midwifery,521*,469,429
DC218,Children`s and General Nursing (Integrated),521*,500,467
GY401,Engineering (Undenominated),522,465,444
MI005,Education - Primary Teaching,522,495,473*
CR130,Musical Theatre at CIT Cork School of Music,525,548,500
MH209,Psychology (through Science) - 4 years,529,498,473
LM029,Law Plus,530,490,473
DC181,Biotechnology,530,499,476
LM038,Psychology and Sociology,530,500,478
TR086,Business Studies and German,530,509,474
GY504,Podiatric Medicine,531,443,434
DN261,Food Science,531,477,434
CK411,Data Science and Analytics,531,510,509
TR911,Children`s and General Nursing (Integrated),531*,511,476*
DC162,Chemical and Pharmaceutical Sciences,531*,521,488
CK406,Chemical Sciences,532,485,457
GY402,Civil Engineering,533,455,509
CK301,Law (Pathways) -  3 or 4 years,533,507,476
DN451,Children`s and General Nursing (Integrated),533,509,462*
DN710,Economics,534,498,476
LM102,Psychology,534,509,495
AD102,Graphic Design and Moving Image Design (portfolio),538,+matric, +mat
GY405,Mechanical Engineering,541,454,443
DC127,Common Entry into Actuarial and Financial Mathemat,541,532,509
GY251,Law (BCL),542,499,473
AS001,Education  Home Economics and Biology - with concu,542,510,456*
DC112,Global Business (France),542*,517,495
GY319,Mathematical Science,543,476,456
CK606,Architecture - Offered jointly by UCC and CIT,543,484,465
CK405,Genetics,543,487,476
MH208,Biological and Biomedical Sciences,543,498,451
GY207,Commerce (Accounting) including optional Global Ex,543,509,486
TR025,Drama and Theatre Studies,543,564,489
DC168,Genetics and Cell Biology,543*,512,489
DC115,Accounting and Finance,544,510,487
DN425,Health and Performance Science,544,510,488
DC114,Global Business (Spain),544,522,501
CK120,Applied Psychology,544,533,506
CK302,Law and French,545,542,453
TR023,English Studies,546,487,463
GY209,Commerce (Global Experience),551,530,509
TR003,History,552,497,486
LM090,Physical Education with concurrent Teacher Educati,552,532,498*
CK202,Accounting,553,509,467
TR063,Physical Sciences,554,498,498*
GY408,Biomedical Engineering,554,509,519
DN201,Computer Science (Common Entry),554,510,488
MH106,Psychology - 3 years,554,521,495
AD101,First Year Art and Design (Common Entry portfolio),554,+matric, +mat
GY318,Biopharmaceutical Chemistry,555,509,510
DN100,Architecture,555,510,473
GY406,Electronic and Computer Engineering,555,510,509
DN660,Commerce International (options),555,517,507
CK504,Nutritional Sciences,555,518,492
DN650,Commerce,555,521,498*
CK402,Biological and Chemical Sciences,555*,510,498
LM056,International Business,555*,528,511
TR032,Engineering,556,510,487*
TR061,Chemical Sciences,558,517,488*
DC204,Athletic Therapy and Training,558,522,484
MH001,Education - Primary Teaching (Froebel),564,507,496*
GY104,BSc (Psychology),564,523,507
TR085,Business Studies and French,564,540,509
TR007,Clinical Speech and Language Studies,564*,529,499
GY252,Law (BCL) and Human Rights,565,520,510
DC205,Physical Education with Biology,565,531,490
DC208,Psychology,565,532,509
CK712,Children`s and General Nursing (Integrated),565,533,499
DN150,Engineering (Common Entry),565*,531,511
DN720,Psychology,566,530,517
DN262,Human Nutrition,566,531,493
TR090,Business Studies and Spanish,566,531,510
TR024,European Studies,566,544,520
CK408,Physics and Astrophysics,566,554,511
CK407,Mathematical Sciences,566,566,531
TR033,Computer Science,566*,509,465*
DN410,Radiography,566*,534,507
CK204,Finance,566*,556,531
LM077,Aeronautical Engineering,567,520,469
CK705,Speech and Language Therapy,568,520,509
LM101,Medicine  - Graduate Entry (GAMSAT required),57*,55,55*
DN610,Business and Law,573,545,521
DL827,Art,574,572,583
AL861,Animation and Illustration (portfolio),575,578,615
DN600,Law (options),576,546,520*
DN200,Science (options),577,533,521
TR055,Radiation Therapy,577,543,510
