,code,title
81,CR225,Photography with New Media at CIT Crawford College
82,CR305,Physical Sciences (Common Entry)
83,CR310,IT Management
84,CR320,Biomedical Science - Offered jointly by CIT and UC
85,CR325,Pharmaceutical Biotechnology
86,CR333,Nutrition and Health Science
87,CR335,Biological Sciences (Common Entry)
88,CR340,Analytical Chemistry with Quality Assurance
89,CR360,Instrument Engineering
90,CR365,Environmental Science and Sustainable Technology
91,CR370,Agri-Biosciences
92,CR400,Accounting
93,CR420,Marketing
94,CR425,International Business with Language
95,CR430,Sport and Exercise Management
96,CR435,Coaching Science and Sports Pedagogy
97,CR440,Montessori Education
98,CR500,Engineering (Common Entry)
99,CR510,Sustainable Energy Engineering
100,CR520,Biomedical Engineering
101,CR560,Architectural Technology
102,CR565,Interior Architecture
103,CR570,Quantity Surveying
104,CR572,Construction Management
105,CR580,Electrical Engineering
106,CR590,Electronic Engineering
107,CR600,Visual Communications at CIT Crawford College of A
108,CR660,Tourism Management
109,CR700,Theatre and Drama Studies at CIT Cork School of Mu
110,CR930,Home Economics and Business
111,CK101,Arts - 3 years
112,CK102,Social Science
113,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu
114,CK105,Film and Screen Media - 3 years or 4 years (Intern
115,CK107,Geographical and Archaeological Sciences - 3 or 4
116,CK108,Arts International - 4 years
117,CK109,English - 3 years or 4 years (International Pathwa
118,CK110,World Languages
119,CK111,Early Years and Childhood Studies
120,CK112,Theatre and Performative Practices - 3 or 4 years
121,CK113,Criminology - 3 years or 4 years (International Pa
122,CK114,Social Science (Youth and Community Work)
123,CK115,Social Work - Mature Applicants only
124,CK118,Digital Humanities and IT - 3 or 4 years (Work Exp
125,CK120,Applied Psychology
126,CK121,Psychology and Computing - 3 or 4 years (Work Expe
127,CK122,Government and Political Science
128,CK123,Anthropology
129,CK124,Education - Gaeilge
130,CK125,Sports Studies and Physical Education
131,CK201,Commerce
132,CK202,Accounting
133,CK203,Business Information Systems
134,CK204,Finance
135,CK205,Commerce (International) with French
136,CK206,Commerce (International) with German
137,CK207,Commerce (International) with Italian
138,CK208,Commerce (International) with Hispanic Studies
139,CK209,Commerce (International) with Irish
140,CK211,Commerce (International) with Chinese Studies
141,CK212,Economics (through Transformational Learning) 3 or
142,CK213,Food Marketing and Entrepreneurship
143,CK214,International Development
144,CK301,Law (Pathways) -  3 or 4 years
145,CK302,Law and French
146,CK304,Law and Irish
147,CK307,Law and Business
148,CK401,Computer Science
149,CK402,Biological and Chemical Sciences
150,CK404,Biological  Earth and Environmental Sciences
151,CK405,Genetics
152,CK406,Chemical Sciences
153,CK407,Mathematical Sciences
154,CK408,Physics and Astrophysics
155,CK409,Industrial Physics - Offered jointly by UCC and CI
156,CK411,Data Science and Analytics
157,CK412,Agricultural Science
158,CK504,Nutritional Sciences
159,CK505,Food Science
160,CK600,Engineering
161,CK606,Architecture - Offered jointly by UCC and CIT
162,CK701,Medicine (Undergraduate Entry - HPAT required)
163,CK702,Dentistry
164,CK703,Pharmacy
165,CK704,Occupational Therapy
166,CK705,Speech and Language Therapy
167,CK706,Public Health Sciences
168,CK707,Medical and Health Sciences
169,CK710,General Nursing
170,CK712,Children`s and General Nursing (Integrated)
171,CK720,Mental Health Nursing
172,CK730,Intellectual Disability Nursing
173,CK740,Midwifery
174,CK791,Medicine  - Graduate Entry (GAMSAT required)
175,AC120,International Business
176,AC137,Liberal Arts
177,CT125,Computing and IT
178,CT325,Business
179,CM001,Education - Primary Teaching
180,CM002,Education - Primary Teaching - Gaeltacht Applicant
181,CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg
182,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg
183,CM010,Education Studies
184,CM020,Early Childhood Education
185,DB500,Computing
186,DB501,Computing (Cloud Computing)
187,DB502,Computing (Data Analytics and Big Data)
188,DB503,Computing (Software Development)
189,DB504,Computing (Web and Mobile Technology)
190,DB510,Audio Production and Music Project Management
191,DB512,Business Studies
192,DB514,Business Studies (Law)
193,DB515,Business Studies (Human Resource Management)
194,DB517,Marketing (Event Management)
195,DB518,Marketing (Digital Media)
196,DB521,Accounting and Finance
197,DB524,Business (Information Systems)
198,DB525,Marketing (Digital Media and Cloud Computing)
199,DB526,Business (Cloud Computing)
200,DB527,Applied Social Care
201,DB531,Marketing
202,DB562,Psychology
203,DB566,Social Science
204,DB567,Film and Creative Media
205,DB568,Law
206,DB569,Business (Psychology)
207,DC001,Education - Early Childhood Education
208,DC002,Education - Primary Teaching
209,DC003,Education - Primary Teaching - Gaeltacht Applicant
210,DC004,Education - Primary Teaching (Church of Ireland Ce
211,DC009,Arts (Joint Honours) - Humanities
212,DC010,Post Primary Teacher Education - Religious Educati
213,DC011,Post Primary Teacher Education - Religious Educati
214,DC012,Post Primary Teacher Education - Religious Educati
215,DC013,Post Primary Teacher Ed - Gaeilge with French/Germ
216,DC014,BA in Jazz and Contemporary Music Performance (aud
217,DC110,Business Studies International
218,DC111,Business Studies
219,DC112,Global Business (France)
220,DC113,Global Business (Germany)
221,DC114,Global Business (Spain)
222,DC115,Accounting and Finance
223,DC116,Global Business (USA)
224,DC117,Aviation Management / Aviation Management with Pil
225,DC118,Gná agus Gaeilge / Business and Irish
226,DC119,Global Business (Canada)
227,DC120,Computing for Business
228,DC121,Computer Science
229,DC123,Data Science
230,DC126,Actuarial Mathematics
231,DC127,Common Entry into Actuarial and Financial Mathemat
232,DC131,Communication Studies
233,DC132,Journalism
234,DC133,Multimedia
235,DC155,Applied Language and Translation Studies
236,DC161,Analytical Science
237,DC162,Chemical and Pharmaceutical Sciences
238,DC163,Chemical Sciences General Entry (Undenominated Ent
239,DC166,Environmental Science and Technology
240,DC168,Genetics and Cell Biology
241,DC175,Physics General Entry (options)
242,DC180,Biological Sciences General Entry (Undenominated E
243,DC181,Biotechnology
244,DC190,Electronic and Computer Engineering (with choice o
245,DC193,Mechatronic Engineering
246,DC194,Sustainable Systems and Energy
247,DC195,Mechanical and Manufacturing Engineering
248,DC197,Biomedical Engineering
249,DC200,Common Entry into Engineering (Undenominated Entry
250,DC202,Sport Science and Health
251,DC203,Science Education
252,DC204,Athletic Therapy and Training
253,DC205,Physical Education with Biology
254,DC206,Physical Education with Mathematics
255,DC207,Psychology and Mathematics
256,DC208,Psychology
257,DC209,Health and Society
258,DC210,Psychology and Disruptive Technologies
259,DC215,General Nursing
260,DC216,Mental Health Nursing
261,DC217,Intellectual Disability Nursing
262,DC218,Children`s and General Nursing (Integrated)
263,DC230,Economics  Politics and Law
264,DC231,International Relations
265,DC232,Law and Society (BCL)
266,DC235,Education and Training - Daytime and Flexible Deli
267,DC238,Social Sciences and Cultural Innovation
268,DC240,Marketing  Innovation and Technology
269,DC241,Digital Business and Innovation
270,DC291,Arts (Joint Honours) - Media Studies
271,DC292,Arts (Joint Honours) - Law
272,DC293,Arts (Joint Honours) - International Languages
273,DC294,Climate and Environmental Sustainability
274,DC295,Arts (Joint Honours) - Politics
275,DL822,Arts Management
276,DL823,Business Management
277,DL825,Applied Psychology
278,DL826,Graphic Design
279,DL827,Art
280,DL832,Animation
281,DL833,Photography and Visual Media
282,DL836,Creative Computing
283,DL837,New Media Studies
284,DL838,Creative Music Production
285,DL839,Interaction and User Experience Design
286,DL840,Digital Marketing
287,DL841,English and Equality Studies
288,DL843,Film
289,DL844,Television
290,DL845,Design for Film (degree options)
291,GC200,Business
292,GC201,Accounting and Finance
293,GC230,Computing Science
294,GC300,Business
295,GC301,Accounting and Finance
296,GC302,Business - HRM
297,GC307,Business (Marketing)
298,GC400,Business
299,GC401,Accounting and Finance
300,GC402,Business (HRM)
301,GC403,Law
302,GC407,Business (Marketing)
303,GC430,Computing Science
304,GC450,Communications and Media Production
305,GC462,Design Communication (portfolio)
306,GC489,Interior Architecture (portfolio)
307,GC494,Fashion Design (portfolio)
308,BY001,Business
309,ID001,Accounting and Finance
310,ID002,Business Studies
311,AD101,First Year Art and Design (Common Entry portfolio)
312,AD102,Graphic Design and Moving Image Design (portfolio)
313,AD103,Textile and Surface Design and Jewellery and Objec
314,AD202,Education and Design or Fine Art (Second Level Tea
315,AD204,Fine Art (portfolio)
316,AD211,Fashion Design (portfolio)
317,AD212,Product Design (portfolio)
318,AD215,Visual Culture
319,AD217,Illustration (portfolio)
320,AD222,Interaction Design (portfolio)
321,NC003,Computing (Degree Award options)
322,NC005,Human Resource Management
323,NC009,Business
324,NC010,Psychology
325,NC020,Marketing Practice
326,NC022,Accounting and Finance
327,NC023,Technology Management (with specialisations)
328,NC030,Early Childhood Education and Care
329,RC001,Medicine - Undergraduate Entry (HPAT required)
330,RC004,Physiotherapy
331,RC005,Pharmacy
332,RC101,Medicine - Graduate Entry (GAMSAT required)
333,NM801,Montessori Education
334,NM802,Psychology
335,TU801,Sustainable Energy Engineering
336,TU802,Electrical Services and Energy Management
337,TU804,Engineering (Common Entry with Award options)
338,TU805,Engineering (General Entry)
339,TU807,Computer Engineering in Mobile Systems
340,TU810,Mechatronic Engineering
341,TU811,Product Design
342,TU812,Design Technology and Innovation
343,TU814,Sustainable Transport Management
344,TU828,Mechanical Engineering (General Entry)
345,TU829,Electronic Engineering (General Entry)
346,TU831,Architectural Technology
347,TU832,Architecture (Suitability Test and Interview)
348,TU833,Construction Management
349,TU834,Geographic Science
350,TU835,Planning and Environmental Management
351,TU836,Property Economics (Valuation Surveying)
352,TU837,Quantity Surveying and Construction Economics
353,TU838,Sustainable Timber Technology
354,TU851,Analytical Chemistry (Environmental  Forensic and
355,TU852,Chemical Sciences with Medicinal Chemistry
356,TU854,Science (General Entry)
357,TU855,Science with Nanotechnology
358,TU856,Computer Science
359,TU857,Computer Science (Infrastructure)
360,TU858,Computer Science (International)
361,TU859,Computing
362,TU860,Computing (Information Technology)
363,TU861,Computing with Language (French/German/Spanish)
364,TU862,Computing with Artificial Intelligence Machine Lea
365,TU863,Digital Forensics and Cyber Security
366,TU864,DNA and Forensic Analysis
367,TU865,Cloud Computing
368,TU866,Biomedical and Molecular Diagnostics
369,TU867,Biomedical Science
370,TU868,Clinical Measurement Science
371,TU869,Environmental Health
372,TU870,Human Nutrition and Dietetics
373,TU871,Optometry
374,TU872,Public Health Nutrition
375,TU874,Mathematical Sciences
376,TU875,Pharmaceutical Healthcare
377,TU876,Pharmaceutical Science
378,TU877,Physics Technology
379,TU878,Physics with Energy and Environment
380,TU879,Physics with Medical Physics and Bioengineering
381,TU880,Physics with Data Science
382,TU881,Food Innovation
383,TU882,Nutraceuticals in Health and Nutrition
384,TU902,Business (options)
385,TU903,Business and Management
386,TU904,Business and Law
387,TU905,Economics and Finance
388,TU906,Human Resource Management
389,TU907,Logistics and Supply Chain Management
390,TU910,Accounting
391,TU912,Business Analytics
392,TU914,Business Computing
393,TU917,Law (LLB ) with a Language
394,TU918,Law (LLB)
395,TU919,Advertising and Marketing Communications
396,TU920,Digital Marketing
397,TU921,Digital Marketing Technologies
398,TU922,Marketing
399,TU924,E-Commerce in Retailing
400,TU925,Retail and Services Management
401,TU932,Business (options)
402,TU933,Accounting and Finance (campus options)
403,TU935,Sports Management and Coaching
404,TU936,Sports Science and Health
405,TU941,Botanical Cuisine
406,TU942,Culinary Arts
407,TU943,Culinary Entrepreneurship
408,TU944,Culinary Science
409,TU951,International Hospitality and Tourism Management
410,TU952,International Hospitality Management
411,TU953,Tourism and Digital Marketing
412,TU954,Event Management
413,TU955,Sports and Leisure Management
414,TU961,Commercial Modern Music (BIMM - assessment/auditio
415,TU962,Drama (Performance  audition)
416,TU963,Music (audition)
417,TU965,International Business and Languages
418,TU967,Languages and International Tourism
419,TU973,Design - Visual Communication (portfolio)
420,TU974,Fine Art (portfolio)
421,TU975,Interior Design (portfolio)
422,TU976,Photography (portfolio)
423,TU978,Creative Industries and Visual Culture
424,TU981,Creative Digital Media
425,TU982,Media Production and Digital Arts
426,TU983,Film and Broadcasting
427,TU984,Game Design
428,TU985,Journalism
429,TU989,Early Childhood Care and Education (campus options
430,TU991,Applied Social Studies in Social Care
431,TU992,Community Development and Youth Work
432,TU995,Early Childhood Education
433,TU996,Social Care
434,TU997,Applied Social Care
435,TR002,Music
436,TR003,History
437,TR004,Law
438,TR005,Philosophy
439,TR006,Psychology
440,TR007,Clinical Speech and Language Studies
441,TR009,Music Education
442,TR015,Philosophy  Political Science  Economics and Socio
443,TR016,Deaf Studies
444,TR018,Law and French
445,TR019,Law and German
446,TR021,Classics  Ancient History and Archaeology
447,TR022,Early and Modern Irish
448,TR023,English Studies
449,TR024,European Studies
450,TR025,Drama and Theatre Studies
451,TR028,Ancient and Medieval History and Culture
452,TR031,Mathematics
453,TR032,Engineering
454,TR033,Computer Science
455,TR034,Management Science and Information Systems Studies
456,TR035,Theoretical Physics
457,TR038,Engineering with Management
458,TR039,Computer Science  Linguistics and a Language
459,TR040,Middle Eastern and European Languages and Cultures
460,TR041,Religion
461,TR042,Film
462,TR043,History of Art and Architecture
463,TR051,Medicine (HPAT required)
464,TR052,Dental Science
465,TR053,Physiotherapy
466,TR054,Occupational Therapy
467,TR055,Radiation Therapy
468,TR056,Human Health and Disease
469,TR060,Biological and Biomedical Sciences
470,TR061,Chemical Sciences
471,TR062,Geography and Geoscience
472,TR063,Physical Sciences
473,TR064,Environmental Science and Engineering
474,TR072,Pharmacy
475,TR080,Global Business
476,TR081,Business  Economic and Social Studies (BESS)
477,TR084,Social Studies (Social Work)
478,TR085,Business Studies and French
479,TR086,Business Studies and German
480,TR087,Business Studies and Russian
481,TR089,Business Studies and Polish
482,TR090,Business Studies and Spanish
483,TR091,General Nursing (Meath and St James`s)
484,TR093,General Nursing (Adelaide School of Nursing)
485,TR095,Mental Health Nursing
486,TR097,Intellectual Disability Nursing
487,TR911,Children`s and General Nursing (Integrated)
488,TR913,Midwifery
489,DN100,Architecture
490,DN120,Landscape Architecture
491,DN130,City Planning and Environmental Policy
492,DN150,Engineering (Common Entry)
493,DN200,Science (options)
494,DN201,Computer Science (Common Entry)
495,DN230,Actuarial and Financial Studies
496,DN240,Sustainability
497,DN250,Agricultural Science (options)
498,DN261,Food Science
499,DN262,Human Nutrition
500,DN300,Veterinary Medicine - Undergraduate Entry
501,DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi
502,DN310,Veterinary Nursing
503,DN400,Medicine - Undergraduate Entry (HPAT required)
504,DN401,Medicine - Graduate Entry (GAMSAT required)
505,DN410,Radiography
506,DN411,Radiography - Graduate Entry
507,DN420,Physiotherapy
508,DN425,Health and Performance Science
509,DN430,Sport and Exercise Management
510,DN440,Biomedical  Health and Life Sciences
511,DN450,General Nursing
512,DN451,Children`s and General Nursing (Integrated)
513,DN452,Midwifery
514,DN453,Mental Health Nursing
515,DN520,Joint Honours (options)
516,DN530,Humanities (options)
517,DN541,Modern Languages (options)
518,DN600,Law (options)
519,DN610,Business and Law
520,DN650,Commerce
521,DN660,Commerce International (options)
522,DN670,Economics and Finance
523,DN700,Social Sciences (options)
524,DN710,Economics
525,DN720,Psychology
526,DN750,Social Policy and Sociology
527,DK810,Accounting and Finance
528,DK816,Business Studies
529,DK820,Computing in Games Development
530,DK821,Computing in Software Development
531,DK822,Augmented and Virtual Reality
532,DK830,Building Surveying
533,DK831,Architectural Technology
534,DK832,Construction Management
535,DK843,Engineering (Common Entry)
536,DK844,Mechanical Engineering
537,DK845,Electrical and Electronic Engineering
538,DK846,Civil Engineering
539,DK850,International Tourism Management
540,DK861,Arts
541,DK862,Social Care
542,DK863,Creative Media
543,DK864,Film and Television Production
544,DK865,Audio and Music Production
545,DK870,General Nursing
546,DK872,Intellectual Disability Nursing
547,DK874,Mental Health Nursing
548,DK876,Early Childhood Studies
549,DK877,Midwifery
550,DK880,Health and Physical Activity
551,DK882,Agriculture (Award options)
552,DK883,Science (Award options)
553,DK884,Sustainable Agriculture
554,DK885,Agri-Food Production
555,DK886,Biopharmaceutical Science
556,DK887,Environmental Science
557,GA181,Accounting
558,GA182,Business
559,GA183,Business Information Systems
560,GA184,Marketing and Sales
561,GA185,Finance and Economics
562,GA186,Business with Entrepreneurship
563,GA187,Rural Enterprise and Agri-Business
564,GA281,Film and Documentary
565,GA282,Heritage Studies
566,GA283,Contemporary Art (portfolio)
567,GA284,Design
568,GA285,Education (Art  Design and Graphics)
569,GA380,International Hotel Management
570,GA381,International Tourism Management
571,GA382,Culinary and Gastronomic Science
572,GA384,Event Management with Public Relations
573,GA480,Construction Management
574,GA482,Quantity Surveying and Construction Economics
575,GA483,Architectural Technology
576,GA484,Civil Engineering
577,GA580,Software and Electronic Engineering
578,GA680,Mechanical Engineering
579,GA681,Energy Engineering
580,GA682,Biomedical Engineering
581,GA683,Agricultural Engineering
582,GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ
583,GA685,Manufacturing Engineering Design
584,GA780,Applied Freshwater and Marine Biology
585,GA781,Applied Biology and Biopharmaceutical Science
586,GA782,Chemical and Pharmaceutical Science
587,GA783,Physics and Instrumentation
588,GA784,Science (Undenominated)
589,GA785,Medical Science
590,GA786,Forensic Science and Analysis
591,GA787,Computing in Software Development
592,GA788,Computing and Digital Media
593,GA789,Agriculture and Environmental Management
594,GA790,Sport and Exercise Science
595,GA791,Public Health Nutrition
596,GA880,General Nursing
597,GA882,Psychiatric Nursing
598,GA885,Outdoor Education
599,GA887,History and Geography
600,GA889,Applied Social Care
601,GA890,Early Childhood Education and Care
602,GA891,Geography and Outdoor Education
603,GA892,Community Development and Youth Work (Level 8)
604,GA980,Education (Design Graphics and Construction)
605,GA981,Furniture Design and Manufacture
606,GA982,Furniture Making and Architectural Woodworking
607,GA983,Furniture and Digital Manufacturing
608,GA984,Furniture Design  Making and Technology - Common E
609,GY101,Arts (Joint-Honours)
610,GY104,BSc (Psychology)
611,GY105,Arts (History)
612,GY109,Arts (Mathematics and Education)
613,GY110,Arts (Children and Youth Studies - options)
614,GY111,Arts (English and Creative Writing)
615,GY113,Arts with Human Rights
616,GY115,Arts with Performing Arts Studies
617,GY118,Arts (Drama  Theatre and Performance Studies)
618,GY119,Arts (Journalism)
619,GY122,Na Dána (Cumarsáid agus Gaeilge)
620,GY123,Applied Social Sciences
621,GY125,Arts (Digital Arts and Technology)
622,GY127,Arts (Film and Digital Media)
623,GY128,Arts (Global Languages)
624,GY129,Arts (Global Experience)
625,GY130,Arts (Music)
626,GY132,Government (Politics  Economics and Law)
627,GY133,Education (Computer Science and Mathematical Studi
628,GY134,Geography and Geosystems
629,GY135,Arts (Global Media)
630,GY136,Na Dána (Léann Teanga - options)
631,GY201,Commerce
632,GY202,Commerce (International) with French
633,GY203,Commerce (International) with German
634,GY204,Commerce (International) with Spanish
635,GY206,Business Information Systems (Work Placement and O
636,GY207,Commerce (Accounting) including optional Global Ex
637,GY208,Commerce (Gaeilge)
638,GY209,Commerce (Global Experience)
639,GY250,Law and Business
640,GY251,Law (BCL)
641,GY252,Law (BCL) and Human Rights
642,GY253,Law and Taxation
643,GY254,Law (BCL)  Criminology and Criminal Justice
644,GY261,Business Studies in International Hotel Management
645,GY262,Commerce in International Hotel Management (interv
646,GY301,Science
647,GY303,Biomedical Science
648,GY304,Biotechnology
649,GY308,Environmental Science
650,GY309,Financial Mathematics and Economics
651,GY310,Marine Science
652,GY313,Environmental Health and Safety
653,GY314,Earth and Ocean Sciences
654,GY318,Biopharmaceutical Chemistry
655,GY319,Mathematical Science
656,GY320,Physics (Degree options: Applied Astrophysics Biom
657,GY321,Genetics and Genomics
658,GY322,Agricultural Sciences
659,GY350,Computer Science and Information Technology
660,GY401,Engineering (Undenominated)
661,GY402,Civil Engineering
662,GY405,Mechanical Engineering
663,GY406,Electronic and Computer Engineering
664,GY408,Biomedical Engineering
665,GY410,Project and Construction Management
666,GY413,Energy Systems Engineering
667,GY414,Electrical and Electronic Engineering
668,GY501,Medicine (five year/six year course  HPAT required
669,GY502,Occupational Therapy
670,GY503,Speech and Language Therapy
671,GY504,Podiatric Medicine
672,GY515,General Nursing (Galway and Portiuncula)
673,GY516,Mental Health Nursing
674,GY517,Midwifery
675,LY108,Business - Accounting
676,LY118,Business
677,LY128,Marketing with Online Technologies
678,LY208,Law
679,LY228,Sports and Exercise - Common Entry
680,LY408,Design - Common Entry
681,LY508,Fire Safety Engineering
682,LY518,Quantity Surveying
683,LY528,Construction Management
684,LY538,Architectural Technology
685,LY608,Mechanical Engineering
686,LY618,Electronic Engineering
687,LY708,Applied Computing
688,LY748,Computer Science
689,LY818,Science - Common Entry
690,LY828,Agriculture - Common Entry
691,LY908,General Nursing
692,LY918,Psychiatric Nursing
693,LY928,Intellectual Disability Nursing
694,LY968,Early Childhood Care  Health and Education
695,LY978,Health and Social Care - Common Entry
696,MI001,Contemporary and Applied Theatre Studies
697,MI002,Arts
698,MI004,Education - Primary Teaching - International
699,MI005,Education - Primary Teaching
700,MI006,Education - Primary Teaching - Gaeltacht Applicant
701,MI007,Early Childhood Care and Education
702,MI008,Education and Psychology - Primary Teaching
703,MI009,Education  Business Studies and Accounting
704,MI010,Education  Business Studies and Religious Studies
705,MI011,Education  Gaeilge and Religious Studies
706,MI012,Education  Gaeilge and Business Studies
707,MI013,Education  Mathematics and Gaeilge
708,MI014,Education  Mathematics and Business Studies
709,CI110,Counselling and Psychotherapy
710,CI111,Counselling and Psychotherapy with Addiction Studi
711,CI112,Counselling and Psychotherapy with Youth Studies
712,LC110,Art and Design (Common Entry  portfolio)
713,LC114,Fashion and Textiles for Product and Costume (port
714,LC115,Art and Design Teacher Education (LIT and UL  port
715,LC220,Digital Marketing
716,LC223,Law and Taxation
717,LC224,Accounting and Finance
718,LC225,Marketing and Management
719,LC226,Enterprise and Innovation
720,LC233,Software Development
721,LC234,Immersive Digital Media and Spatial Computing
722,LC236,Internet Systems Development
723,LC239,Computer Networks and Systems Management
724,LC241,Construction Management
725,LC242,Property Valuation and Management
726,LC243,Quantity Surveying
727,LC248,Built Environment (Common Entry)
728,LC252,Civil Engineering Management
729,LC263,Medical Technology
730,LC265,Forensic and Pharmaceutical Sciences
731,LC266,Drug and Medicinal Product Analysis
732,LC275,Electrical Engineering
733,LC288,Mechanical Engineering
734,LC289,Precision Engineering
735,LC292,Social Care Work
736,LC293,Business Studies with Travel and Tourism Managemen
737,LC294,Business Studies with Event Management
738,LC295,Business Studies with Sports Management
739,LC297,Community and Addiction Studies
740,LC320,Business
741,LC330,Business with Computing
742,LC340,Interior Design
743,LC362,Biotechnology and Biopharmaceutical Sciences
744,LC371,Creative Broadcast and Film Production
745,LC372,Music Technology and Production
746,LC374,Renewable and Electrical Energy Engineering
747,LC375,Industrial Automation and Robotic Systems
748,LC376,Electronic Engineering with Computer Systems
749,LC380,Automotive Engineering and Transport Management
750,LC392,Business Studies in Beauty and Spa Management
751,LC393,Early Childhood Education and Care
752,LC402,Social Care Work
753,LC408,Environmental Science and Climate
754,LC416,Business
755,LC418,Computing - Games Design and Development
756,LC422,Applied Strength and Conditioning
757,LC502,Game Art and Design (portfolio)
758,LC517,Creative Media and Design
759,LC518,Digital Animation Production (portfolio)
760,LC612,Social Care Work
761,LM002,Arts
762,LM019,Social Sciences
763,LM020,Law and Accounting
764,LM026,Performing Arts (audition format TBC)
765,LM028,Criminal Justice
766,LM029,Law Plus
767,LM038,Psychology and Sociology
768,LM039,Journalism and Digital Communication
769,LM040,European Studies
770,LM044,Applied Languages
771,LM050,Business Studies (options)
772,LM056,International Business
773,LM058,Financial Mathematics
774,LM063,Technology Management
775,LM066,Environmental Science
776,LM068,Food Science and Health
777,LM076,Product Design and Technology (portfolio required)
778,LM077,Aeronautical Engineering
779,LM082,Construction Management and Engineering
780,LM089,Sport and Exercise Sciences
781,LM090,Physical Education with concurrent Teacher Educati
782,LM091,Languages with concurrent Teacher Education
783,LM092,Science with Teacher Ed (Biology with Physics/Chem
784,LM093,Equine Science
785,LM094,Materials and Architectural Technology with concur
786,LM095,Materials and Engineering Technology with concurre
787,LM096,Science with Teacher Ed (Physical Sciences with Ch
788,LM097,Mathematics and Computer Science with concurrent T
789,LM099,Architecture
790,LM100,Physiotherapy
791,LM101,Medicine  - Graduate Entry (GAMSAT required)
792,LM102,Psychology
793,LM103,Paramedic Studies (Full B/Provisional C1 Drivers L
794,LM105,Exercise and Health Fitness Management
795,LM115,Chemical and Biochemical Engineering
796,LM116,Engineering (Biomedical/Civil/Design and Manufactu
797,LM118,Electronic and Computer Engineering
798,LM121,Computer Science (Computer Systems/Games Dev/Cyber
799,LM122,Creative Media and Interaction Design (Digital Des
800,LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind
801,LM124,Mathematics (Math Science/Maths and Physics/Econom
802,LM125,Physics (Applied Physics or Mathematics and Physic
803,LM150,General Nursing
804,LM152,Mental Health Nursing
805,LM154,Intellectual Disability Nursing
806,LM156,Midwifery
807,MU001,Theology and Arts
808,MU002,Theology
809,MH001,Education - Primary Teaching (Froebel)
810,MH002,Education - Primary Teaching - Gaeltacht Applicant
